synth_idx,src_a,src_b,lambda,soil,pipe,S_pct,T_pct,M_pct,B_pct
0,9,8,0.352,Sand,"2""",12.98,30.34,23.91,19.2
1,83,10,0.35,Clay,"4""",12.07,14.98,17.72,19.87
2,70,48,0.671,Clay,"4""",7.22,17.25,17.55,18.88
3,47,97,0.459,Sand,"4""",4.85,13.17,16.35,16.59
4,46,13,0.42,Sand,"4""",4.78,11.16,14.93,14.2
5,92,49,0.495,Sand,"2""",11.72,21.93,29.57,26.39
6,9,76,0.565,Sand,"2""",11.83,22.06,20.2,28.32
7,75,21,0.682,Clay,"4""",16.37,26.88,22.94,34.36
8,21,77,0.415,Sand,"2""",9.0,15.77,18.34,20.51
9,10,33,0.67,Sand,"2""",6.04,13.64,16.21,17.24
10,56,87,0.31,Sand,"4""",17.22,20.79,20.71,25.81
11,105,62,0.522,Clay,"4""",16.18,23.86,24.24,27.2
12,79,59,0.554,Clay,"4""",15.86,18.21,19.87,24.39
13,82,19,0.342,Clay,"4""",13.36,16.47,21.13,22.15
14,77,50,0.356,Clay,"4""",10.74,19.63,23.03,26.31
15,84,92,0.468,Clay,"4""",14.81,17.77,23.45,22.56
16,55,2,0.686,Sand,"4""",7.63,15.79,17.88,19.87
17,13,81,0.538,Sand,"2""",13.25,14.92,20.25,19.22
18,90,53,0.673,Clay,"4""",14.58,21.15,22.75,25.47
19,48,77,0.622,Sand,"4""",6.26,15.17,15.5,18.39
20,54,71,0.487,Sand,"4""",15.2,19.1,19.84,22.06
21,40,46,0.614,Sand,"4""",5.0,15.38,18.8,22.62
22,19,33,0.307,Sand,"2""",5.51,13.94,16.61,17.53
23,100,67,0.344,Sand,"4""",8.31,18.61,20.02,21.53
24,84,15,0.632,Clay,"4""",14.18,14.21,16.55,19.89
25,69,63,0.619,Clay,"4""",6.44,18.44,18.09,19.68
26,43,10,0.393,Sand,"4""",6.53,15.34,17.85,19.7
27,88,70,0.512,Clay,"4""",15.72,19.93,21.2,24.66
28,58,67,0.542,Sand,"4""",11.17,20.96,23.53,21.62
29,47,9,0.647,Sand,"4""",4.63,12.73,14.59,16.35
30,48,81,0.541,Sand,"4""",12.44,15.45,18.71,19.41
31,24,44,0.465,Sand,"2""",7.07,19.0,21.22,23.06
32,9,84,0.45,Sand,"2""",14.24,15.79,18.05,20.91
33,59,4,0.47,Sand,"4""",5.62,13.77,16.72,19.49
34,95,19,0.561,Sand,"2""",7.19,15.57,20.99,19.07
35,6,53,0.647,Sand,"2""",6.32,13.45,16.28,17.42
36,92,20,0.482,Sand,"2""",10.78,17.09,24.69,20.81
37,89,35,0.399,Clay,"4""",9.33,16.27,17.29,20.93
38,29,71,0.395,Sand,"2""",13.81,16.06,18.43,18.94
39,68,15,0.598,Clay,"4""",6.49,15.49,16.85,17.25
40,17,73,0.627,Sand,"2""",18.18,40.05,32.11,31.0
41,81,11,0.342,Clay,"4""",11.37,14.63,19.79,18.99
42,75,18,0.327,Clay,"4""",13.34,22.77,24.74,28.67
43,38,63,0.538,Sand,"4""",8.37,19.47,22.25,25.83
44,7,85,0.358,Sand,"2""",14.21,13.98,16.86,19.44
45,104,18,0.63,Clay,"4""",17.32,25.62,28.36,26.71
46,48,32,0.424,Sand,"4""",5.98,13.95,14.63,16.72
47,96,99,0.358,Sand,"2""",8.51,18.49,22.03,24.35
48,73,106,0.668,Clay,"4""",21.5,35.58,27.2,38.25
49,84,62,0.366,Clay,"4""",11.27,17.3,18.56,22.69
50,82,48,0.414,Clay,"4""",11.93,15.33,16.1,20.13
51,21,37,0.361,Sand,"2""",12.7,22.71,26.5,23.7
52,39,66,0.346,Sand,"4""",15.4,19.13,20.89,22.79
53,50,63,0.308,Sand,"4""",5.75,17.91,19.01,21.99
54,53,31,0.322,Sand,"4""",5.39,14.72,15.92,18.43
55,4,2,0.37,Sand,"2""",4.76,8.94,13.31,13.13
56,59,16,0.321,Sand,"4""",5.69,13.39,16.68,18.81
57,16,103,0.536,Sand,"2""",5.71,16.15,17.82,20.45
58,80,45,0.572,Clay,"4""",14.77,15.03,16.32,19.56
59,73,52,0.457,Clay,"4""",15.48,28.71,24.43,33.77
60,99,50,0.427,Sand,"4""",10.93,21.0,25.09,28.44
61,80,84,0.502,Clay,"4""",21.81,16.8,18.5,23.2
62,39,7,0.65,Sand,"4""",7.92,16.84,21.58,24.4
63,104,8,0.64,Clay,"4""",19.67,33.23,29.32,25.88
64,44,29,0.317,Sand,"4""",4.02,13.18,17.21,18.11
65,35,52,0.373,Sand,"4""",7.83,17.44,19.36,22.62
66,97,72,0.395,Sand,"2""",17.44,31.27,23.98,32.67
67,40,52,0.4,Sand,"4""",8.72,20.08,22.84,27.62
68,8,47,0.528,Sand,"2""",10.32,25.98,20.61,17.73
69,50,101,0.467,Sand,"4""",8.66,19.86,22.84,26.35
70,85,17,0.32,Clay,"4""",17.48,33.06,29.97,23.88
71,20,61,0.449,Sand,"2""",9.07,17.59,21.41,21.35
72,49,58,0.51,Sand,"4""",13.25,24.12,29.24,27.17
73,14,51,0.341,Sand,"2""",10.23,16.65,20.52,22.43
74,74,87,0.633,Clay,"4""",20.3,29.98,24.55,37.01
75,51,28,0.321,Sand,"4""",8.47,16.01,20.7,22.31
76,35,103,0.67,Sand,"4""",4.66,16.1,16.54,19.47
77,24,35,0.34,Sand,"2""",5.13,15.69,17.6,18.95
78,60,58,0.637,Sand,"4""",9.49,19.95,22.51,23.56
79,72,56,0.661,Clay,"4""",19.07,34.03,24.19,35.42
80,101,91,0.692,Sand,"4""",5.41,16.17,18.42,21.22
81,47,47,0.621,Sand,"4""",3.5,11.6,13.0,15.4
82,17,30,0.612,Sand,"2""",11.27,30.01,27.01,20.94
83,89,2,0.557,Clay,"4""",12.52,16.05,18.63,21.38
84,68,39,0.612,Clay,"4""",9.2,19.8,21.75,23.73
85,75,89,0.354,Clay,"4""",18.7,25.43,23.11,33.01
86,10,1,0.514,Sand,"2""",5.11,11.33,15.11,15.66
87,33,96,0.506,Sand,"4""",5.04,13.79,16.57,16.94
88,82,58,0.643,Clay,"4""",18.98,19.08,21.57,24.91
89,89,15,0.485,Clay,"4""",10.58,15.63,17.66,20.99
90,47,32,0.454,Sand,"4""",5.41,12.75,13.98,16.33
91,86,59,0.556,Clay,"4""",14.06,21.48,21.76,28.39
92,90,34,0.407,Clay,"4""",9.28,16.68,18.14,20.16
93,41,11,0.356,Sand,"4""",6.36,15.42,18.98,20.32
94,96,71,0.491,Sand,"2""",13.53,16.94,19.35,19.13
95,31,72,0.467,Sand,"4""",14.72,28.29,20.75,29.85
96,25,12,0.393,Sand,"2""",6.47,14.16,18.94,16.95
97,73,30,0.447,Clay,"4""",11.55,24.53,19.52,27.69
98,68,26,0.447,Clay,"4""",7.95,18.27,19.8,18.64
99,15,71,0.431,Sand,"2""",13.34,15.22,16.78,17.84
100,89,78,0.452,Clay,"4""",12.84,20.13,21.03,26.45
101,21,78,0.574,Sand,"2""",8.79,16.47,19.84,21.21
102,86,101,0.419,Clay,"4""",11.4,20.4,20.7,26.81
103,0,83,0.68,Sand,"2""",9.27,11.57,14.42,16.63
104,86,34,0.667,Clay,"4""",14.0,19.63,19.33,25.63
105,84,11,0.492,Clay,"4""",13.09,15.03,18.09,19.95
106,84,66,0.431,Clay,"4""",19.09,17.51,18.44,20.58
