synth_idx,src_idx,soil,pipe,S_pct,T_pct,M_pct,B_pct,noise_sigma
0,99,Sand,"4""",6.0,18.6,19.9,24.3,0.02
1,61,Clay,"4""",8.0,17.9,17.8,18.0,0.02
2,79,Clay,"4""",21.5,16.8,18.5,23.9,0.02
3,57,Sand,"4""",7.0,19.3,21.1,22.7,0.02
4,57,Sand,"4""",7.0,19.3,21.1,22.7,0.02
5,82,Clay,"4""",22.6,21.1,23.2,28.9,0.02
6,76,Clay,"4""",21.7,16.8,23.8,23.2,0.02
7,87,Sand,"2""",9.0,17.4,23.9,21.9,0.02
8,60,Clay,"4""",9.0,18.3,17.5,17.9,0.02
9,55,Sand,"4""",8.0,19.7,21.7,26.0,0.02
10,45,Sand,"4""",3.5,12.4,13.4,14.7,0.02
11,84,Clay,"4""",16.7,21.9,23.6,25.8,0.02
12,61,Clay,"4""",8.0,17.9,17.8,18.0,0.02
13,85,Sand,"2""",4.1,10.7,15.1,14.3,0.02
14,83,Clay,"4""",19.8,21.3,23.5,28.0,0.02
15,64,Clay,"4""",8.5,18.7,19.1,20.2,0.02
16,30,Sand,"4""",3.5,13.0,13.8,15.8,0.02
17,44,Sand,"4""",5.8,17.4,18.7,22.8,0.02
18,57,Sand,"4""",7.0,19.3,21.1,22.7,0.02
19,72,Clay,"4""",9.0,16.6,17.3,22.0,0.02
20,55,Sand,"4""",8.0,19.7,21.7,26.0,0.02
21,67,Clay,"4""",21.5,38.8,26.6,42.4,0.02
22,88,Sand,"2""",7.0,16.2,21.5,20.4,0.02
23,90,Sand,"2""",6.0,15.0,19.8,18.1,0.02
24,12,Sand,"2""",6.7,14.8,17.5,18.1,0.02
25,78,Clay,"4""",22.3,16.8,18.5,25.7,0.02
26,101,Clay,"4""",7.0,22.8,21.9,26.3,0.02
27,57,Sand,"4""",7.0,19.3,21.1,22.7,0.02
28,61,Clay,"4""",8.0,17.9,17.8,18.0,0.02
29,104,Clay,"4""",21.5,29.1,28.4,29.9,0.02
30,52,Sand,"4""",4.4,18.3,18.0,14.9,0.02
31,50,Sand,"4""",9.3,19.1,20.2,23.6,0.02
32,44,Sand,"4""",5.8,17.4,18.7,22.8,0.02
33,87,Sand,"2""",9.0,17.4,23.9,21.9,0.02
34,82,Clay,"4""",22.6,21.1,23.2,28.9,0.02
35,93,Sand,"4""",4.1,14.1,15.0,16.2,0.02
36,39,Sand,"4""",12.9,22.1,27.8,31.7,0.02
37,68,Clay,"4""",19.6,34.6,26.2,42.4,0.02
38,91,Sand,"2""",6.0,14.7,19.2,17.6,0.02
39,5,Sand,"2""",4.2,10.1,13.7,13.4,0.02
40,46,Sand,"4""",3.1,8.2,11.8,12.0,0.02
41,5,Sand,"2""",4.2,10.1,13.7,13.4,0.02
42,31,Sand,"4""",3.1,12.4,13.5,15.4,0.02
43,12,Sand,"2""",6.7,14.8,17.5,18.1,0.02
44,45,Sand,"4""",3.5,12.4,13.4,14.7,0.02
45,75,Clay,"4""",23.2,17.0,18.5,23.2,0.02
46,44,Sand,"4""",5.8,17.4,18.7,22.8,0.02
47,4,Sand,"2""",3.5,8.5,12.3,13.7,0.02
48,36,Sand,"4""",3.5,12.8,13.9,16.1,0.02
49,75,Clay,"4""",23.2,17.0,18.5,23.2,0.02
50,87,Sand,"2""",9.0,17.4,23.9,21.9,0.02
51,45,Sand,"4""",3.5,12.4,13.4,14.7,0.02
52,100,Sand,"4""",6.0,18.1,19.2,23.6,0.02
53,39,Sand,"4""",12.9,22.1,27.8,31.7,0.02
54,6,Sand,"2""",3.5,9.3,14.1,12.7,0.02
55,16,Sand,"2""",3.5,8.8,13.6,12.8,0.02
56,59,Sand,"4""",8.0,24.7,22.3,28.0,0.02
57,11,Sand,"2""",7.3,15.9,21.4,19.4,0.02
58,19,Sand,"2""",10.2,18.0,24.9,22.3,0.02
59,13,Sand,"2""",6.0,13.5,17.7,16.8,0.02
